customer_id,date,contracted_stems,crop_id
39,7/1/2021,857.1428571,1
39,7/1/2021,28571.42857,2
220,7/1/2021,10000,2
224,7/1/2021,5714.285714,1
92,7/1/2021,1285.714286,1
94,7/1/2021,428.5714286,1
270,7/1/2021,21857.14286,1
270,7/1/2021,21428.57143,2
267,7/1/2021,1428.571429,1
267,7/1/2021,3571.428571,2
41,7/1/2021,4285.714286,1
80,7/1/2021,142.8571429,1
69,7/1/2021,1285.714286,1
259,7/1/2021,1714.285714,1
65,7/1/2021,214.2857143,1
161,7/1/2021,214.2857143,1
252,7/1/2021,857.1428571,1
252,7/1/2021,11428.57143,2
57,7/1/2021,1142.857143,1
161,7/1/2021,18571.42857,2
64,7/1/2021,857.1428571,1
96,7/1/2021,428.5714286,1
70,7/1/2021,428.5714286,1
72,7/1/2021,857.1428571,1
181,7/1/2021,8714.285714,2
39,7/2/2021,857.1428571,1
39,7/2/2021,28571.42857,2
220,7/2/2021,10000,2
270,7/2/2021,21857.14286,1
224,7/2/2021,5714.285714,1
92,7/2/2021,1285.714286,1
94,7/2/2021,428.5714286,1
270,7/2/2021,21428.57143,2
267,7/2/2021,1428.571429,1
267,7/2/2021,3571.428571,2
41,7/2/2021,4285.714286,1
80,7/2/2021,142.8571429,1
69,7/2/2021,1285.714286,1
259,7/2/2021,1714.285714,1
65,7/2/2021,214.2857143,1
161,7/2/2021,214.2857143,1
161,7/2/2021,18571.42857,2
252,7/2/2021,11428.57143,2
57,7/2/2021,1142.857143,1
64,7/2/2021,857.1428571,1
252,7/2/2021,857.1428571,1
70,7/2/2021,428.5714286,1
96,7/2/2021,428.5714286,1
72,7/2/2021,857.1428571,1
181,7/2/2021,8714.285714,2
39,7/3/2021,857.1428571,1
39,7/3/2021,28571.42857,2
220,7/3/2021,10000,2
270,7/3/2021,21857.14286,1
92,7/3/2021,1285.714286,1
224,7/3/2021,5714.285714,1
94,7/3/2021,428.5714286,1
80,7/3/2021,142.8571429,1
270,7/3/2021,21428.57143,2
267,7/3/2021,1428.571429,1
267,7/3/2021,3571.428571,2
41,7/3/2021,4285.714286,1
69,7/3/2021,1285.714286,1
259,7/3/2021,1714.285714,1
65,7/3/2021,214.2857143,1
161,7/3/2021,214.2857143,1
252,7/3/2021,857.1428571,1
252,7/3/2021,11428.57143,2
57,7/3/2021,1142.857143,1
64,7/3/2021,857.1428571,1
161,7/3/2021,18571.42857,2
70,7/3/2021,428.5714286,1
96,7/3/2021,428.5714286,1
72,7/3/2021,857.1428571,1
181,7/3/2021,8714.285714,2
39,7/4/2021,857.1428571,1
39,7/4/2021,28571.42857,2
220,7/4/2021,10000,2
270,7/4/2021,21428.57143,2
224,7/4/2021,5714.285714,1
80,7/4/2021,142.8571429,1
92,7/4/2021,1285.714286,1
94,7/4/2021,428.5714286,1
270,7/4/2021,21857.14286,1
267,7/4/2021,1428.571429,1
267,7/4/2021,3571.428571,2
41,7/4/2021,4285.714286,1
69,7/4/2021,1285.714286,1
259,7/4/2021,1714.285714,1
65,7/4/2021,214.2857143,1
161,7/4/2021,214.2857143,1
161,7/4/2021,18571.42857,2
252,7/4/2021,11428.57143,2
57,7/4/2021,1142.857143,1
64,7/4/2021,857.1428571,1
252,7/4/2021,857.1428571,1
70,7/4/2021,428.5714286,1
96,7/4/2021,428.5714286,1
72,7/4/2021,857.1428571,1
181,7/4/2021,8714.285714,2
39,7/5/2021,857.1428571,1
39,7/5/2021,28571.42857,2
220,7/5/2021,10000,2
270,7/5/2021,21428.57143,2
224,7/5/2021,5714.285714,1
80,7/5/2021,142.8571429,1
92,7/5/2021,1285.714286,1
94,7/5/2021,428.5714286,1
270,7/5/2021,21857.14286,1
267,7/5/2021,1428.571429,1
267,7/5/2021,3571.428571,2
41,7/5/2021,4285.714286,1
69,7/5/2021,1285.714286,1
259,7/5/2021,1714.285714,1
65,7/5/2021,214.2857143,1
161,7/5/2021,18571.42857,2
252,7/5/2021,857.1428571,1
57,7/5/2021,1142.857143,1
64,7/5/2021,857.1428571,1
252,7/5/2021,11428.57143,2
161,7/5/2021,214.2857143,1
70,7/5/2021,428.5714286,1
96,7/5/2021,428.5714286,1
72,7/5/2021,857.1428571,1
181,7/5/2021,8714.285714,2
39,7/6/2021,857.1428571,1
39,7/6/2021,28571.42857,2
220,7/6/2021,10000,2
80,7/6/2021,142.8571429,1
92,7/6/2021,1285.714286,1
224,7/6/2021,5714.285714,1
94,7/6/2021,428.5714286,1
270,7/6/2021,21857.14286,1
270,7/6/2021,21428.57143,2
267,7/6/2021,1428.571429,1
267,7/6/2021,3571.428571,2
41,7/6/2021,4285.714286,1
69,7/6/2021,1285.714286,1
259,7/6/2021,1714.285714,1
65,7/6/2021,214.2857143,1
161,7/6/2021,214.2857143,1
161,7/6/2021,18571.42857,2
252,7/6/2021,11428.57143,2
57,7/6/2021,1142.857143,1
64,7/6/2021,857.1428571,1
252,7/6/2021,857.1428571,1
96,7/6/2021,428.5714286,1
72,7/6/2021,857.1428571,1
181,7/6/2021,8714.285714,2
70,7/6/2021,428.5714286,1
39,7/7/2021,857.1428571,1
39,7/7/2021,28571.42857,2
220,7/7/2021,10000,2
270,7/7/2021,21857.14286,1
224,7/7/2021,5714.285714,1
92,7/7/2021,1285.714286,1
94,7/7/2021,428.5714286,1
270,7/7/2021,21428.57143,2
267,7/7/2021,1428.571429,1
267,7/7/2021,3571.428571,2
41,7/7/2021,4285.714286,1
80,7/7/2021,142.8571429,1
69,7/7/2021,1285.714286,1
259,7/7/2021,1714.285714,1
65,7/7/2021,214.2857143,1
161,7/7/2021,214.2857143,1
161,7/7/2021,18571.42857,2
252,7/7/2021,857.1428571,1
57,7/7/2021,1142.857143,1
64,7/7/2021,857.1428571,1
252,7/7/2021,11428.57143,2
70,7/7/2021,428.5714286,1
96,7/7/2021,428.5714286,1
72,7/7/2021,857.1428571,1
181,7/7/2021,8714.285714,2
220,7/8/2021,10000,2
39,7/8/2021,857.1428571,1
39,7/8/2021,28571.42857,2
92,7/8/2021,1285.714286,1
224,7/8/2021,5714.285714,1
94,7/8/2021,428.5714286,1
270,7/8/2021,21857.14286,1
270,7/8/2021,21428.57143,2
267,7/8/2021,1428.571429,1
267,7/8/2021,3571.428571,2
41,7/8/2021,4285.714286,1
80,7/8/2021,142.8571429,1
161,7/8/2021,214.2857143,1
69,7/8/2021,1285.714286,1
259,7/8/2021,1714.285714,1
65,7/8/2021,214.2857143,1
161,7/8/2021,18571.42857,2
252,7/8/2021,857.1428571,1
57,7/8/2021,1142.857143,1
64,7/8/2021,857.1428571,1
252,7/8/2021,11428.57143,2
70,7/8/2021,428.5714286,1
96,7/8/2021,428.5714286,1
72,7/8/2021,857.1428571,1
181,7/8/2021,8714.285714,2
39,7/9/2021,857.1428571,1
39,7/9/2021,28571.42857,2
220,7/9/2021,10000,2
80,7/9/2021,142.8571429,1
224,7/9/2021,5714.285714,1
92,7/9/2021,1285.714286,1
94,7/9/2021,428.5714286,1
270,7/9/2021,21428.57143,2
267,7/9/2021,1428.571429,1
267,7/9/2021,3571.428571,2
41,7/9/2021,4285.714286,1
270,7/9/2021,21857.14286,1
69,7/9/2021,1285.714286,1
259,7/9/2021,1714.285714,1
65,7/9/2021,214.2857143,1
161,7/9/2021,214.2857143,1
161,7/9/2021,18571.42857,2
252,7/9/2021,11428.57143,2
57,7/9/2021,1142.857143,1
64,7/9/2021,857.1428571,1
252,7/9/2021,857.1428571,1
70,7/9/2021,428.5714286,1
96,7/9/2021,428.5714286,1
72,7/9/2021,857.1428571,1
181,7/9/2021,8714.285714,2
39,7/10/2021,857.1428571,1
39,7/10/2021,28571.42857,2
220,7/10/2021,10000,2
270,7/10/2021,21428.57143,2
224,7/10/2021,5714.285714,1
80,7/10/2021,142.8571429,1
92,7/10/2021,1285.714286,1
94,7/10/2021,428.5714286,1
270,7/10/2021,21857.14286,1
